code_region,region,rang_vaccinal,date_debut_semaine,nb
94,COR,2,2021-06-07,7483
94,COR,1,2021-06-14,2026
94,COR,2,2021-06-14,7134
94,COR,1,2021-06-21,1544
94,COR,2,2021-06-21,7022
94,COR,1,2021-06-28,1698
94,COR,2,2021-06-28,5653
94,COR,1,2021-07-05,2370
94,COR,2,2021-07-05,3418
94,COR,1,2021-07-12,5502
94,COR,2,2021-07-12,3356
94,COR,1,2021-07-19,3588
94,COR,2,2021-07-19,3329
94,COR,1,2021-07-26,2309
94,COR,2,2021-07-26,2943
94,COR,1,2021-08-02,1627
94,COR,2,2021-08-02,3877
94,COR,1,2021-08-09,938
94,COR,2,2021-08-09,3403
24,CVL,1,2021-03-01,1
24,CVL,1,2021-03-08,70
24,CVL,1,2021-03-15,13596
24,CVL,2,2021-03-15,5652
24,CVL,1,2021-03-22,27944
24,CVL,2,2021-03-22,8486
24,CVL,1,2021-03-29,30572
24,CVL,2,2021-03-29,11612
24,CVL,1,2021-04-05,38969
24,CVL,2,2021-04-05,15587
24,CVL,1,2021-04-12,51007
24,CVL,2,2021-04-12,20076
24,CVL,1,2021-04-19,54223
24,CVL,2,2021-04-19,26640
24,CVL,1,2021-04-26,56730
24,CVL,2,2021-04-26,28191
24,CVL,1,2021-05-03,56663
24,CVL,2,2021-05-03,41756
24,CVL,1,2021-05-10,65470
24,CVL,2,2021-05-10,43408
24,CVL,1,2021-05-17,86392
24,CVL,2,2021-05-17,26920
24,CVL,1,2021-05-24,86758
24,CVL,2,2021-05-24,25092
24,CVL,1,2021-05-31,81950
24,CVL,2,2021-05-31,38934
24,CVL,1,2021-06-07,75041
24,CVL,2,2021-06-07,47972
24,CVL,1,2021-06-14,57064
24,CVL,2,2021-06-14,61301
24,CVL,1,2021-06-21,42541
24,CVL,2,2021-06-21,70354
24,CVL,1,2021-06-28,33863
24,CVL,2,2021-06-28,89743
24,CVL,1,2021-07-05,34822
24,CVL,2,2021-07-05,93940
24,CVL,1,2021-07-12,29462
24,CVL,2,2021-07-12,93208
24,CVL,1,2021-07-19,37198
24,CVL,2,2021-07-19,87796
24,CVL,1,2021-07-26,38080
24,CVL,2,2021-07-26,58953
24,CVL,1,2021-08-02,14720
24,CVL,2,2021-08-02,34482
24,CVL,1,2021-08-09,3741
24,CVL,2,2021-08-09,28918
01,GDP,1,2021-01-18,144
01,GDP,1,2021-01-25,107
01,GDP,1,2021-02-01,43
01,GDP,2,2021-02-01,79
01,GDP,1,2021-02-08,51
01,GDP,2,2021-02-08,142
01,GDP,1,2021-02-15,43
01,GDP,2,2021-02-15,13
01,GDP,1,2021-02-22,67
01,GDP,2,2021-02-22,59
01,GDP,1,2021-03-01,101
01,GDP,2,2021-03-01,98
01,GDP,1,2021-03-08,130
01,GDP,2,2021-03-08,106
